x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030
90,3.654032,0,0,0,0,0,2.7223356,0.25720206,2.0724297,0,0,0,0,3.3586771,8.592434,0,0,0,0,2.0646458,0,0,0,0,0,1.6800699,0.2674298,1.8035568,3.78338,1.4679254,1.9073778
91,0,0,8.180869,5.5241795,0,7.2985454,0,0,1.9565341,0,2.973816,0,2.767979,0,2.1417835,0,0,0,0.38445416,0,3.5427449,1.8878492,0.058114886,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,1.5927447,0,0,0,5.801439,1.6472852,0.8266344,0,0,0,1.4817786,0,1.7331249,0,0,0,0,6.187605,1.1436412,1.3381947,0,0,3.5544279
93,0,0,0,0,1.250264,0,0,0,0,0,0,0,0,0,4.2442756,0.11220541,3.8974543,0,1.8423816,1.1420974,0,0.14237407,0,0,0,0,2.7466629,0,4.2690425,0,0
94,0,0,0,0,2.858975,1.1224346,0,0,0,0.8816789,0.6038694,0.411026,0.01401866,0,0,0.96813136,0,1.4806026,2.3722215,0,0,0,1.8018734,3.3971055,0,0,0,0,0,0,0.45606136
95,0,0,5.698908,2.204074,0,0,5.090603,0,0.72231233,0,0,0,0.79719085,0,0,1.1052259,0,0.2845189,3.0009437,0,0.4665048,0,0.4782267,2.4139884,1.3277761,1.117227,0,0.63612914,0,0,0
96,0.9832458,0,0,0,0,0,0,0.69190234,0,0.029242799,0,0,0,0,4.139023,0,4.299637,0,4.2204733,1.4998183,0,2.68399,1.2090412,0,0,0.3142449,0,0,0,0,0
97,2.0678115,7.9041095,7.2856226,2.690433,0,0,0,0,0,0,0,0,0,6.0242624,3.970739,0,0,0,0,0,0,0.018944804,1.5200148,0.5469908,1.8664962,0,1.8131937,0,0,3.6227386,0
98,0,0,0,4.6929827,0,1.5978549,1.1708074,0,0.44138718,0,0,4.3083496,3.6428468,0,0.3754687,0,0,0,2.658648,0,0,0,7.823543,2.8182516,3.382101,0,0,0.5736588,4.0515604,1.6900986,0.27266583
99,0.16050433,0,0,0,1.0046912,0,2.29599,0.3431553,0,0,0,0,0,0,0,2.0290267,0,0,0,0,1.1110371,0,2.410845,0,0,0,0,1.3051076,2.5894969,0,0
