x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033
96,0,0,0,0,0,1.4334316,1.4461844,0,0,6.2477655,1.2727314,0,0,0,0,0.28762037,0,0,0.6135089,0,0,0,5.0441794,0,0,0,0.83911526,0,0,3.0871766,1.3633804,0,1.5472277,4.043264
97,0,1.2148627,1.277489,3.5635674,0,0,0,0,2.0005002,0,0,0,0,0,0.7974907,0,5.1892962,0,0,0,8.378454,5.714595,3.345077,2.4520016,0.43993405,0,0.9740538,0,0,0,0,2.1772845,0,0
98,0,0,0,1.8709972,0,1.5016315,0.10079318,3.488237,0,0,1.7144245,0,6.4137306,0,0,0,2.6230845,8.138814,0,0,8.892502,0,0,3.0394688,0,0,0.49478102,0,0,0.22127013,0,6.075884,0.9981925,0
99,0,0,5.7244987,0.36820766,0,0,1.5022138,1.9879926,0,0,0.2730819,0,0,0,0,0,0,0,0,0.101800054,4.0680346,0,6.024392,0,0,0,3.0023172,0,0,0,0,0,2.0578368,0
100,4.8163524,0.7148006,2.0076568,0,0.61965954,2.4235756,0,1.9406712,0,0,0,2.7985978,0,0,3.5673199,0,0,9.412905,0,8.189294,1.2706176,0,0,0.58614707,14.380217,8.725803,0,0.4730049,2.075109,0,1.0051295,0,0,0
101,4.058633,2.4603946,0,4.0468054,7.7501993,0,0,16.56753,0,0,0.32569876,0.040454105,10.85343,0.11464128,0,0,0,0,0.6957775,0,4.416571,0,1.6292868,0,5.9126287,0,0.000130609,0,3.6398442,0.03489747,0,0,0,0
102,0,2.1859663,0,1.6513408,2.7154975,0,1.3498231,3.2467506,0,0,0.22132431,0,0,0,0,0,6.1836596,3.4947658,0,0,4.8700867,0,2.4283686,4.449175,5.9009266,0,0,1.0748192,6.3687897,0,0,0.05387003,1.8895124,1.5139854
103,0,10.758448,1.2732109,0,0,0,0,0.66488177,0,1.3276683,0,0.17576776,17.150364,4.5606256,0,0,1.8399103,12.198163,0,0,0,0,0.53573245,0,0,0,0,3.7915726,2.923461,0,0,0.9051794,1.6550759,0
104,0,0,0,0,0,0,0,6.8601346,0,0,0.60932446,0,9.476402,0.62182546,0,0,2.5153277,0,5.7339,0,0,10.9727335,1.6678574,1.7762017,9.446325,0,0,3.2913976,0,1.5365086,0,0,0,0
105,0,3.1652093,0,0,0,0,1.5472499,0,0,0,0,0,8.644301,0,0,0.7627191,7.6089067,0,0,0,4.5250688,0,2.6550856,0,0,0,2.2183993,0,4.4202776,0.8174556,0,10.076308,0,4.0952973
106,0,4.858405,0,0.6457598,0,0,1.5000808,2.8499265,0,0,0,7.025935,0,0,0,0,0,11.79057,0,2.8117712,0,11.222176,4.9526744,4.479904,23.042711,1.7213122,0,0,0,0,0,0,6.1220064,0
