x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031
426,4.0113993,0.8572518,0,0,0,2.3749292,0.9236211,0,0,0,1.5124401,5.6300287,0,0,0,0,0,0,0,1.3362505,0,0.6956425,1.1736755,0,2.0285127,0,0,0,0,1.6775861,0.029940642,0
427,1.9560492,0,0,0,0.083247855,1.3986177,0,0,0,2.1182868,0,0,0,0,0,0,0,2.3094141,0,2.327842,0,3.8365319,3.943723,0,0,0,0,3.7258112,0,1.630908,0.9370913,7.140784
428,0,0,0,0.16520575,0,0,4.8349876,0,0,2.2598138,0,0,10.83824,0,1.5201669,0.9079196,0.026962634,12.88563,1.5656309,0,15.357868,2.704066,0.43977153,1.5599296,0.010280675,0,0,4.5216956,0,0,0,0.20463288
429,0,1.3689768,4.3851748,9.561474,0.14842413,0,0.25320065,0,0,0,1.030267,4.3919473,4.4110293,1.1231183,0,0.12411853,0,0,4.935479,0,0,0,0,0,2.8979852,2.289641,0,0,0,3.1164997,6.3293896,0.7065469
430,3.637307,0,0,0,0,1.2088102,0,3.7325127,0,0.82717454,0,3.3037639,6.379445,0,3.8185344,0,0,6.260963,2.9621391,0,0,9.610393,0.2056495,0,2.2448223,3.4063067,1.8126713,0,6.301623,4.636043,0.6242636,0
431,0.09674768,2.4784472,0,0,1.4653044,0,1.680553,4.4007845,0.16821747,0.94780254,0,0,0,1.7793123,0,1.2841253,0,1.711346,0,1.8595675,0,0,0,1.6023699,4.1506624,4.295246,1.6660967,3.6965926,2.41348,0,1.6151316,0
432,0,0,0,0,0,0,0.8008474,0,0,0,0,9.834099,0,0,0,0,1.3501282,0,0,0.50444627,0,2.0872355,0,0,0,3.6195958,0.62733686,1.2917145,0,0,0,0
433,0,0,0,0,0,0,0,0,2.8585954,0,1.5527427,0,0,0,0,0,0,0,0,0,11.310357,2.2923574,0,0,0,0,0,0,0,0,0,0.88719565
434,0,0,0,0,0,0,0,0,0,0,0,10.618534,0,0,0.80767864,0.6486143,0.07361144,4.0231276,0,0,8.901342,6.7090015,0,4.55382,0,0,0,3.856053,0,0,0,4.749237
435,0,0,0,0.4047202,0,8.669519,2.0229068,6.5794353,3.8554552,0,0,0,0,0,1.5936561,7.716923,0.26351225,1.3206651,0,4.9942822,0,0,0.4371641,1.4047589,0,0,0,2.139994,0,0,0,5.909099
