x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028
528,2.397852,0,0,1.8314614,0,1.7620462,0,1.6565688,0,0,0,0,0,0,0,0,1.3403671,0,4.5409694,0.58907264,1.5096774,0,0,0.8730677,0.6044414,0.46340215,0.38119033,0,0.7094061
529,0,0.72640026,0,0.6141821,0,0,4.040744,0,0,0,0.13771321,0,0,0,0,2.4813387,3.2461812,0,1.3130767,0,1.7152909,0,0.55682904,0,0,1.8308957,0,0,0.20488733
530,0,0,0,0,0,1.4158609,0,0.7424547,1.0326992,0,0,0.9485857,0,0,4.3416095,0,0,0.98402584,0,0,0,1.7789123,0,0,0,0,0.67441386,0,0
531,0,0,0.10853048,0.560337,1.4265959,0.034736954,0,0.003923202,0,0,0,3.1537163,0,0,0,0,0,0.23025392,0,0.033962905,0,0,0.5131584,0,0,0,1.7275454,0,0.2126226
532,0,0,0.59178966,0,0,0.92684317,2.694733,2.3716567,0,0.7403425,0.08885745,0,0,0,0,0,1.0558867,0,2.0103543,1.3790603,2.258792,0.4145622,0.12899676,0,0,0,0,0,0
533,0.9088779,0,0,0,1.030075,0,3.2384303,0,0.28296578,0,0,3.8806808,0.5448375,0,2.635402,0,0,0.2007671,0,0.6399026,4.3931203,2.4739597,1.4079165,0,1.1642469,0.9848618,0,0,0
534,0,0,0.85206187,0.4901369,0,0,0,0,0,0.5198971,1.5825725,0,1.6368598,0,0,0,0.8670127,0,0,0.7533965,0,1.6430345,0,1.8147119,0.09028061,0,0,0,0
535,0.067744784,0.46358985,0,0,0.069021106,0,0,0,0,0.29993513,0,0,0,0,2.2253563,0,0.7759719,0.20376885,10.730021,0.56251854,0,0,0.2872443,0.11121959,0,0.4951943,0,0,0.22331077
536,0,0,0.67166674,0.19147024,0,0,0,0,0,0,0,4.2473807,0,0.4131447,0,0,1.8832377,0.14322044,3.0983667,0,0,1.3206503,0.1890722,0.5461871,0.40120235,0,0.4882214,1.2678924,1.1486738
537,0,0,0.10949146,0.39381608,0.852476,1.7189493,0,0,0.81576115,0,0,1.1273566,0,0,0,2.537611,1.4998109,0,0,0,0,0,0,0.21763001,0,0,0.5222936,0,0
538,1.3063103,1.4085273,0.8160463,1.7490214,0.5562732,0,8.134919,0,0,0.6982541,0,0,0,0,0,0,0,0.08388117,0.43917978,0.5467988,0,1.0284885,1.3156927,0,0.047821783,0,0,0,0
539,0.17867458,0.9948993,0,0.45647165,0,0,0,0,0,0.8829128,0.01424658,0,0,0,0,3.6109173,0,0,7.852968,0.4052716,0,0,0,0.5371674,0,2.5586083,0,0,1.2332585
