x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029
23,1.1115203,0.4799332,7.516099,0,0.35221153,0.14968467,0,3.8366728,1.5997905,0,0,5.147395,0,1.6986954,0.08393941,1.865315,0,0.56970423,1.5898982,0.64202434,0.6947121,0.35003388,0.56339073,0.09614806,0,0.27498645,0,0,2.652752,0.6417107
24,0,0.03880911,0,1.1614588,0.36268815,0,0.36644033,0.14803912,0.8553417,1.2050583,0,0.55380034,1.2105433,0,2.7913532,0,0,0,1.6801544,0,0.022627572,1.1065911,3.3242557,0,0,0.17431772,0,0,2.223639,0
25,0,0.5122092,5.573331,0.49189082,0,0,0.5329476,0,0.34700847,0,0.4794933,0.11124919,0,0,2.3297453,0,1.888591,0,0,0.47566244,0,0,1.2269816,0,1.4917686,1.2196679,0,0.5378903,0,0.7981838
26,0,0.44450143,0,1.4011401,1.5153966,0,0.04143683,0.5692258,0,3.2006876,1.7175983,0,0.3956938,0,0.9386787,0,0.71687055,1.1525208,0.26871732,0,0,0,0,0,0.5623384,0.09648136,1.0534903,0.2662534,4.7677946,0
27,0.6139138,0,0,0,0.828875,0,0.73891705,0,0,0,0,0,0,0.416541,0,0,0,0,0.32528713,0,0,1.931141,2.219783,0,0,0,0,1.0324619,0,0.7126977
28,0.6899415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5584307,0,0,0,0.21560259
29,0,0,0,0,0,0,0,0,0,0.69523907,0,0,0,0,0,0,0,0,1.4661331,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,3.721277,0,0.3835957,0,1.0865628,0.19694883,0.4269171,0,0,0,0,0,0,0,0,0,0,0,0.33123505,0,0,0,0,0,0,0,0
31,0,1.9760439,2.5923262,0,0,0,0,2.2563102,0.6476457,1.9697151,0,0,0,0,0,0,0.08433163,0,1.3185105,0,0,0,1.046443,0.44948667,0,0,0,0.015553435,0,0.951062
32,0.6117285,0,0.00840688,0,0.0528322,0,0.8466585,0,0,0,0,0,1.3446202,0,0,0.9088688,0,0,0.23263943,0,1.0674278,0,0,2.5271761,0,1.5708406,1.014604,0.48300093,0.19976711,0.24503528
33,0,0,0,0,0,0.14829823,0,0,1.9244144,0,0,0,0,1.7050613,0,0,1.1017408,0,0,0,0,0.36501467,0,2.7240875,0,0,0.33788273,0.17014804,0,0
34,0,0,2.7453153,0,0,1.2867357,0,1.6417933,0,1.135104,0,0.010008683,0,0.27355647,0,3.5975366,0,1.244032,1.9413574,0,1.457157,0,2.2397704,0.57842606,1.9428785,0,0,0,1.0958507,0
35,0,0,0.7668988,0,1.4277422,0,0.57240665,0,0.13518225,0,0,0,0.5299884,0,2.4135509,1.7666663,0.9522474,0,0.34447563,0,0,0,0.6333691,3.5347388,0,1.7155982,0,0,0,0
36,0,0.6600222,0,0,0.03491088,0,0,3.1868896,0,0,0.7721313,0,0.04524078,1.3483325,4.214628,0,0.15082799,1.2267245,0,2.0093973,0.21811184,0.17977914,0,1.9216161,0.75574785,0.16835347,0.58956945,0,0.9127027,0
